Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
3/18/2021,2071.1,2085,2001,2009.5,2055.74,975274,17106,2004908194,464495,47.63,84,-61.6
3/17/2021,2100,2103.75,2035.35,2055.15,2065.9,243197,13024,502421082,51262,21.08,68.4,-44.85
3/16/2021,2114.8,2125.8,2096.05,2100.45,2108.41,223111,11870,470408992,54392,24.38,29.75,-14.35
3/15/2021,2138.65,2148.8,2080.9,2108.75,2103.31,513109,42112,1079227010,194815,37.97,67.9,-29.9
3/12/2021,2199,2205,2123.65,2138.65,2159.39,298281,14795,644104598,51130,17.14,81.35,-60.35
3/10/2021,2211,2215.75,2170.15,2181.7,2187.18,249199,12139,545044039,61722,24.77,45.6,-29.3
3/9/2021,2200,2214.7,2146.2,2190.2,2181.73,312285,13943,681321715,48475,15.52,68.5,-9.8
3/8/2021,2171.5,2231,2169.45,2190.45,2207.49,375048,18728,827914051,69183,18.45,61.55,18.95
3/5/2021,2168,2212.5,2155,2178.55,2186,430447,21366,940955240,56656,13.16,57.5,10.55
3/4/2021,2179.7,2189.65,2158,2175.7,2186.18,1316695,18492,2878538754,1034246,78.55,31.65,-4
3/3/2021,2121.7,2220,2107.2,2201.35,2165.03,1101111,56971,2383933726,534506,48.54,112.8,79.65
3/2/2021,2124,2130,2089.25,2106.2,2107.81,269778,16637,568641746,68576,25.42,40.75,-17.8
3/1/2021,2114.45,2114.45,2063.2,2101.15,2092.72,366701,20413,767402716,48778,13.3,51.25,-13.3
2/26/2021,2109,2133.4,2070.15,2083.85,2100.05,902603,53103,1895508184,290913,32.23,63.25,-25.15
2/25/2021,2078,2152.25,2071,2144.85,2095.4,2401302,77372,5031685242,1743444,72.6,81.25,66.85
2/24/2021,2025.8,2081.5,2000.55,2065.55,2043.26,1580996,52217,3230385779,611374,38.67,80.95,39.75
2/23/2021,2028,2053.1,2013.8,2024.25,2035.2,420916,18426,856649358,104005,24.71,39.3,-3.75
2/22/2021,2080,2089.7,1995.1,2007.4,2038.36,649015,41412,1322925932,231422,35.66,94.6,-72.6
2/19/2021,2065,2104.95,2058,2080.55,2088.64,398673,17549,832684406,77916,19.54,46.95,15.55
2/18/2021,2085.75,2107.7,2059.7,2065.5,2086.17,298538,14233,622801647,61715,20.67,48,-20.25
2/17/2021,2058,2095,2050.85,2082.75,2076.98,692483,38911,1438273406,305537,44.12,44.15,24.75
2/16/2021,2040,2079,2037.5,2059.65,2061.48,361465,17723,745152334,92295,25.53,41.5,19.65
2/15/2021,2049,2060.55,2025.4,2032.6,2042.73,325784,14989,665488339,48870,15,35.15,-16.4
2/12/2021,2059.7,2077.5,2015.55,2041.25,2051.01,640628,27971,1313933137,88301,13.78,61.95,-18.45
2/11/2021,1977.45,2062.2,1971.2,2055.55,2027.72,1942646,105055,3939137149,925164,47.62,91,78.1
2/10/2021,1957.7,1983.95,1928,1975.25,1953.06,470988,21970,919869183,160938,34.17,55.95,17.55
2/9/2021,1967.7,1990,1952,1955.95,1974.65,602162,37702,1189057236,243939,40.51,38,-11.75
2/8/2021,1931.2,1968.25,1929.05,1951.5,1954.5,702232,44299,1372513249,332291,47.32,39.2,20.3
2/5/2021,1933,1944.2,1920,1924,1930.75,322014,17712,621729484,121278,37.66,24.2,-9
2/4/2021,1921,1939.7,1905.05,1923.95,1931.13,1619015,23038,3126526440,1343806,83,34.65,2.95
2/3/2021,1927,1951,1900,1930.3,1933.41,921546,52016,1781726024,281504,30.55,51,3.3
